Key,Event Type,Timestamp
shift,down,1703596461881
shift,down,1703596461913
shift,down,1703596461944
shift,down,1703596461975
shift,down,1703596462007
shift,down,1703596462055
shift,down,1703596462087
shift,down,1703596462119
shift,down,1703596462151
shift,down,1703596462183
shift,down,1703596462213
shift,down,1703596462244
shift,down,1703596462275
shift,down,1703596462306
shift,down,1703596462337
shift,down,1703596462384
shift,down,1703596462415
shift,down,1703596462446
shift,down,1703596462478
shift,down,1703596462510
shift,down,1703596462542
shift,down,1703596462574
shift,down,1703596462606
shift,down,1703596462638
shift,down,1703596462670
shift,down,1703596462701
shift,down,1703596462733
shift,down,1703596462781
shift,down,1703596462812
shift,down,1703596462843
shift,down,1703596462875
shift,down,1703596462907
A,down,1703596462930
A,down,1703596463441
A,down,1703596463473
A,down,1703596463503
A,down,1703596463533
A,down,1703596463564
A,down,1703596463596
A,down,1703596463643
A,up,1703596463652
D,down,1703596465509
D,up,1703596465685
shift,up,1703596465702
w,up,1703596465738
i,down,1703596466214
i,up,1703596466281
space,down,1703596472379
space,up,1703596472456
esc,down,1703596472758
