Time (ms),Device,Action,Details
1713544499920,Mouse,Move,"X: 881, Y: 422"
1713544500021,Mouse,Move,"X: 880, Y: 422"
1713544500121,Mouse,Move,"X: 880, Y: 422"
1713544500221,Mouse,Move,"X: 880, Y: 422"
1713544500322,Mouse,Move,"X: 880, Y: 422"
1713544500423,Mouse,Move,"X: 880, Y: 422"
1713544500524,Mouse,Move,"X: 881, Y: 423"
1713544500624,Mouse,Move,"X: 888, Y: 435"
1713544500725,Mouse,Move,"X: 893, Y: 441"
1713544500825,Mouse,Move,"X: 896, Y: 443"
1713544500926,Mouse,Move,"X: 904, Y: 448"
1713544501026,Mouse,Move,"X: 912, Y: 451"
1713544501127,Mouse,Move,"X: 915, Y: 451"
1713544501228,Mouse,Move,"X: 915, Y: 451"
1713544501329,Mouse,Move,"X: 915, Y: 451"
1713544501429,Mouse,Move,"X: 915, Y: 451"
1713544501530,Mouse,Move,"X: 915, Y: 451"
1713544501631,Mouse,Move,"X: 915, Y: 452"
1713544501732,Mouse,Move,"X: 970, Y: 464"
1713544501832,Mouse,Move,"X: 981, Y: 464"
1713544501933,Mouse,Move,"X: 981, Y: 464"
1713544502034,Mouse,Move,"X: 981, Y: 464"
1713544502134,Mouse,Move,"X: 981, Y: 464"
1713544502235,Mouse,Move,"X: 981, Y: 464"
1713544502335,Mouse,Move,"X: 981, Y: 464"
1713544502436,Mouse,Move,"X: 981, Y: 464"
1713544502536,Mouse,Move,"X: 981, Y: 464"
1713544502637,Mouse,Move,"X: 981, Y: 464"
1713544502737,Mouse,Move,"X: 981, Y: 464"
1713544502838,Mouse,Move,"X: 981, Y: 464"
1713544502938,Mouse,Move,"X: 981, Y: 464"
1713544503039,Mouse,Move,"X: 981, Y: 464"
1713544503140,Mouse,Move,"X: 981, Y: 464"
1713544503240,Mouse,Move,"X: 980, Y: 464"
1713544503341,Mouse,Move,"X: 976, Y: 464"
1713544503441,Mouse,Move,"X: 938, Y: 465"
1713544503542,Mouse,Move,"X: 925, Y: 467"
1713544503642,Mouse,Move,"X: 921, Y: 469"
1713544503743,Mouse,Move,"X: 920, Y: 469"
1713544503844,Mouse,Move,"X: 920, Y: 470"
1713544503944,Mouse,Move,"X: 912, Y: 473"
1713544504045,Mouse,Move,"X: 897, Y: 475"
1713544504145,Mouse,Move,"X: 897, Y: 475"
1713544504246,Mouse,Move,"X: 897, Y: 475"
1713544504347,Mouse,Move,"X: 897, Y: 475"
1713544504448,Mouse,Move,"X: 897, Y: 475"
1713544504549,Mouse,Move,"X: 896, Y: 475"
1713544504649,Mouse,Move,"X: 863, Y: 477"
1713544504750,Mouse,Move,"X: 826, Y: 476"
1713544504851,Mouse,Move,"X: 824, Y: 476"
1713544504951,Mouse,Move,"X: 817, Y: 477"
1713544505052,Mouse,Move,"X: 816, Y: 477"
1713544505153,Mouse,Move,"X: 816, Y: 477"
1713544505254,Mouse,Move,"X: 816, Y: 477"
1713544505354,Mouse,Move,"X: 816, Y: 477"
1713544505455,Mouse,Move,"X: 816, Y: 477"
1713544505555,Mouse,Move,"X: 816, Y: 477"
1713544505656,Mouse,Move,"X: 816, Y: 476"
1713544505757,Mouse,Move,"X: 816, Y: 476"
1713544505857,Mouse,Move,"X: 816, Y: 476"
1713544505957,Mouse,Move,"X: 816, Y: 476"
1713544506058,Mouse,Move,"X: 816, Y: 476"
1713544506159,Mouse,Move,"X: 816, Y: 476"
1713544506259,Mouse,Move,"X: 816, Y: 476"
1713544506360,Mouse,Move,"X: 816, Y: 476"
1713544506461,Mouse,Move,"X: 816, Y: 476"
1713544506561,Mouse,Move,"X: 816, Y: 476"
1713544506661,Mouse,Move,"X: 816, Y: 476"
1713544506762,Mouse,Move,"X: 816, Y: 476"
1713544506863,Mouse,Move,"X: 785, Y: 465"
1713544506963,Mouse,Move,"X: 727, Y: 453"
1713544507064,Mouse,Move,"X: 727, Y: 453"
1713544507164,Mouse,Move,"X: 727, Y: 453"
1713544507265,Mouse,Move,"X: 727, Y: 453"
1713544507365,Mouse,Move,"X: 727, Y: 453"
1713544507466,Mouse,Move,"X: 727, Y: 453"
1713544507566,Mouse,Move,"X: 727, Y: 450"
1713544507667,Mouse,Move,"X: 709, Y: 444"
1713544507768,Mouse,Move,"X: 709, Y: 444"
1713544507869,Mouse,Move,"X: 709, Y: 444"
1713544507969,Mouse,Move,"X: 709, Y: 444"
1713544508070,Mouse,Move,"X: 696, Y: 437"
1713544508170,Mouse,Move,"X: 693, Y: 437"
1713544508270,Mouse,Move,"X: 690, Y: 437"
1713544508371,Mouse,Move,"X: 690, Y: 437"
1713544508471,Mouse,Move,"X: 690, Y: 437"
1713544508572,Mouse,Move,"X: 690, Y: 437"
1713544508672,Mouse,Move,"X: 690, Y: 437"
1713544508773,Mouse,Move,"X: 690, Y: 437"
1713544508873,Mouse,Move,"X: 690, Y: 437"
1713544508974,Mouse,Move,"X: 690, Y: 437"
1713544509075,Mouse,Move,"X: 690, Y: 437"
1713544509176,Mouse,Move,"X: 691, Y: 437"
1713544509276,Mouse,Move,"X: 706, Y: 435"
1713544509377,Mouse,Move,"X: 707, Y: 435"
1713544509478,Mouse,Move,"X: 707, Y: 435"
1713544509579,Mouse,Move,"X: 707, Y: 435"
1713544509679,Mouse,Move,"X: 703, Y: 435"
1713544509780,Mouse,Move,"X: 691, Y: 436"
1713544509880,Mouse,Move,"X: 689, Y: 436"
1713544509981,Mouse,Move,"X: 689, Y: 436"
1713544510082,Mouse,Move,"X: 689, Y: 436"
1713544510182,Mouse,Move,"X: 689, Y: 436"
1713544510283,Mouse,Move,"X: 689, Y: 436"
1713544510384,Mouse,Move,"X: 688, Y: 436"
1713544510484,Mouse,Move,"X: 683, Y: 439"
1713544510585,Mouse,Move,"X: 682, Y: 439"
1713544510685,Mouse,Move,"X: 682, Y: 439"
1713544510786,Mouse,Move,"X: 682, Y: 439"
1713544510886,Mouse,Move,"X: 682, Y: 439"
1713544510987,Mouse,Move,"X: 682, Y: 439"
1713544511087,Mouse,Move,"X: 681, Y: 439"
1713544511188,Mouse,Move,"X: 680, Y: 439"
1713544511288,Mouse,Move,"X: 673, Y: 443"
1713544511388,Mouse,Move,"X: 668, Y: 444"
1713544511489,Mouse,Move,"X: 668, Y: 445"
1713544511590,Mouse,Move,"X: 668, Y: 445"
1713544511690,Mouse,Move,"X: 668, Y: 445"
1713544511791,Mouse,Move,"X: 668, Y: 445"
1713544511892,Mouse,Move,"X: 691, Y: 447"
1713544511992,Mouse,Move,"X: 703, Y: 448"
1713544512093,Mouse,Move,"X: 708, Y: 449"
1713544512194,Mouse,Move,"X: 711, Y: 451"
1713544512295,Mouse,Move,"X: 711, Y: 451"
1713544512396,Mouse,Move,"X: 710, Y: 451"
1713544512496,Mouse,Move,"X: 710, Y: 451"
1713544512596,Mouse,Move,"X: 709, Y: 451"
1713544512697,Mouse,Move,"X: 709, Y: 451"
1713544512798,Mouse,Move,"X: 709, Y: 451"
1713544512898,Mouse,Move,"X: 704, Y: 450"
1713544512999,Mouse,Move,"X: 703, Y: 450"
1713544513100,Mouse,Move,"X: 702, Y: 449"
1713544513200,Mouse,Move,"X: 702, Y: 449"
1713544513301,Mouse,Move,"X: 702, Y: 449"
1713544513401,Mouse,Move,"X: 702, Y: 449"
1713544513502,Mouse,Move,"X: 701, Y: 449"
1713544513602,Mouse,Move,"X: 701, Y: 449"
1713544513703,Mouse,Move,"X: 701, Y: 449"
1713544513804,Mouse,Move,"X: 695, Y: 448"
1713544513905,Mouse,Move,"X: 695, Y: 448"
1713544514005,Mouse,Move,"X: 695, Y: 448"
1713544514105,Mouse,Move,"X: 695, Y: 448"
1713544514206,Mouse,Move,"X: 695, Y: 448"
1713544514307,Mouse,Move,"X: 695, Y: 448"
1713544514408,Mouse,Move,"X: 695, Y: 448"
1713544514509,Mouse,Move,"X: 695, Y: 448"
1713544514609,Mouse,Move,"X: 695, Y: 448"
1713544514709,Mouse,Move,"X: 695, Y: 448"
1713544514810,Mouse,Move,"X: 695, Y: 448"
